client,threshold,throughput,energy_cost,time_cost,packet_loss
10,0.2,85.3704823175746,2.7740915780262525,374.9631249999994,0.3406249999999999
20,0.2,81.46462036441407,4.594526144767974,305.59494687499955,0.3467391304347826
40,0.2,84.71307957645128,8.608813947032576,273.7230812499996,0.35227272727272724
80,0.2,95.67110980452796,13.382629000763545,206.2297187499997,0.3485119047619048
160,0.2,102.71712125241511,31.78594611896594,228.72750624999966,0.3558238636363637
10,0.15,82.17604277648331,5.5889959201927955,746.1766187499987,0.3424528301886792
20,0.15,76.03854399067902,6.779968058935385,444.3313031249993,0.3580645161290323
40,0.15,88.36761981775302,10.592510212861118,337.4668124999995,0.3495192307692308
80,0.15,96.20221655572045,19.181840631715556,296.22086874999957,0.3482758620689655
160,0.15,102.35085408728251,44.42856205848288,318.7186562499995,0.3561458333333334
10,0.1,81.20889096955486,9.748006974837569,1293.622781250014,0.3392857142857143
20,0.1,79.28308030358153,12.491818097634694,815.5447968749986,0.3533653846153847
40,0.1,89.76994411138743,16.820139596886577,536.1972687499991,0.34711538461538466
80,0.1,94.80298784432915,30.716713692050945,472.45353749999924,0.34602272727272737
160,0.1,101.9936136195973,52.24350648440571,374.9631249999994,0.3560714285714286
